Adelomyia melanogenys,Aglaiocercus kingii,Chaetocercus heliodor,Chlorostilbon poortmani,Coeligena coeligena,Colibri coruscans,Colibri cyanotus,Doryfera ludovicae,Heliangelus amethysticollis,Heliodoxa jacula,Metallura tyrianthina,Ocreatus underwoodii,Phaetornis syrmatophorus,Amazilia franciae
4,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,8,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,0,5,0,0,1,0,0,0,0,3,2,0
0,0,0,4,0,0,0,0,0,0,0,0,0,0
