Adelomyia melanogenys,Aglaiocercus kingii,Chaetocercus heliodor,Chlorostilbon poortmani,Coeligena coeligena,Colibri coruscans,Colibri cyanotus,Doryfera ludovicae,Heliangelus amethysticollis,Heliodoxa jacula,Metallura tyrianthina,Ocreatus underwoodii,Phaetornis syrmatophorus,Amazilia franciae
0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0,16,3,7,0,0,0,4,1,0,0,10
2,0,0,0,0,0,0,2,0,0,0,0,0,0
0,1,1,17,0,0,0,0,0,1,0,0,0,10
0,0,0,0,0,0,0,0,2,0,0,0,0,1
0,0,0,5,0,0,0,0,0,0,0,0,0,0
2,0,0,7,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10,0,0,0,0,0,0,0,0
2,0,0,13,0,2,2,0,1,0,0,4,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0
